living-room,[5liviN5ru:m],n.起居室
load,[lEud],"n.负荷, 重担, 装载量, 工作量, 负载, 加载//vt.装载, 装填, 使担负//vi.装货, 装弹药，装料"
loaf,[lEuf],"n.一条面包, 块, 游荡//v.游荡, 虚度光阴"
local,[5lEukEl],"adj.地方的, 当地的, 局部的, 乡土的//n.当地居民, 本地新闻, 慢车, 局部"
lock,[lCk],"n.锁//v.锁, 锁上, 锁住"
lonely,[5lEunli],"adj.孤独的, 寂寞的, 偏僻的, 人迹罕至的"
long,[lCN],"adj.长的, 长期的, 做多头的, 高的//vi.渴望, 热望//adv.长期地, 始终//n.长时间, (市场上)做多头的人, [语音]长音节"
long ago,[],"很久以前, 从前"
long before,[],很早以前
long-term,[],adj.长期的
look,[luk],"n.看, 注视, 脸色, 面容, 外表//vi.看, 注意, 朝着, 好象, 显得//vt.打量, 注视, 用眼神(或脸色)表示, 期待"
look after,[],"v.目送, 寻求, 照顾, 关心"
look at,[],"v.看, 考虑, 着眼于"
look back upon,[],*回顾
look down upon(on),[],*看不起
look for,[],"v.寻找, 期待"
look forward to,[],"期望//期待,盼望"
look into,[],"v.窥视, 浏览, 观察"
look out,[],"v.面朝, 留神, 照料"
look round,[],"v.环顾, 观光, 察看//观光,仔细察看"
look up,[],"v.向上看, 尊敬, 仰望, 查寻, 拜访, 好转"
loose,[lu:s],"n.解放, 放任, 放纵//adj.宽松的, 不精确的, 不牢固的, 散漫的, 自由的//vt.释放, 放枪, 开船//vi.变松, 开火//adv.松散地"
lorry,[5lCri],"n.<古>卡车, 铁路货车"
lose,[lu:z],"vt.遗失, 浪费, 错过, 输去, 使失去, 使迷路, 使沉溺于//vi.受损失, 失败"
lose heart,[],v.丧失勇气
lose one's life,[],*死；牺牲
lose one's sight,[],丧失视力
lose one's voice,[],*失音；嗓子哑
lose weight,[],v.体重减轻
loss,[lCs],"n.损失, 遗失, 失败, 输, 浪费, 错过, [军]伤亡, 降低"
lot,[lCt],"n.签, 抽签, 一堆, 许多, 命运, 一块地, 份额//vt.划分//vi.抽签, 抓阄"
loud,[laud],"adj.高声的, 不断的, 喧吵的//adv.高声地, 大声地"
love,[lQv],"n.爱, 热爱, 爱情, 爱好, 性爱, 情人, 零//vt.爱, 热爱, 爱好, 爱慕//vi.爱"
lovely,[5lQvli],"adj.可爱的, 有趣的"
low,[lEu],"n.低, 低价, 牛叫声//adj.低的, 浅的, 消沉的, 微弱的, 粗俗的, 卑贱的, 体质弱的//adv.低下地, 谦卑地, 低声地, 低价地//vi.牛叫"
low-lying,[],"adj.低的, 低地的"
luck,[lQk],"n.运气, 好运, 幸运"
luggage,[5lQgidV],"n.行李, 皮箱"
lunch,[lQntF],n.午餐
lung,[lQN],"n.肺, 呼吸器, 肺脏"
machine,[mE5Fi:n],"n.机器, 机械, 机动车辆, 机构, 设计, 机械般工作的人, (政党的)领导集团, 核心组织//vt.机器制造, 用车床加工"
mad,[mAd],"adj.疯狂的, 愚蠢的, 狂欢的, 非常激动的, 狂热的, 着迷的//n.狂怒"
madame\madam,[],n.夫人，太太，女士(对妇女的尊称)
magazine,[7mAgE5zi:n],"n.杂志, 期刊, 军火库, 弹药库, (枪、炮的)弹仓, 胶卷盒"
magic,[5mAdVik],"n.魔法, 巫术, 戏法//adj.魔术的, 有魔力的, 不可思议的"
maid,[meid],"n.少女, 女仆"
mail,[meil],"n.邮件, 邮政, 盔甲//vt.邮寄, 给...穿盔甲"
mailbox,[],"n.<美>邮筒, 邮箱"
main,[mein],"n.主要部分, 体力, 力量, 大陆, 要点, 干线//adj.主要的, 重要的, 全力的//n.[计] 主群组"
mainland,[`meinlEnd;-lAnd],n.大陆
mainly,[5meinli],"adv.大体上, 主要地"
major,[5meidVE],"n.<美>[教]主修课, [律]成年人, [乐]大调//adj.主修的, 成年的, 大调的//vi.主修"
majority,[mE5dVCriti],"n.多数, 大半//n.[律] 成年"
make,[meik],"vt.制造, 安排, 使成为, 认为, 产生, 获得, 进行, 构成//vi.开始, 前进, 增大, 被制造, 被处理//n.制造, 构造, 性情"
make a decision,[],"决定下来, 作出决定// 下决心"
make a face,[],v.做鬼脸
make a good effort,[],*作很大的努力
make a mistake,[],犯错误
make a noise,[],"(为某事而)吵吵嚷嚷// 成为众人谈论或注意的对象, 轰动一时"
make a plan for,[],*为…作计划
make a promise,[],允诺
make a record,[],*录制唱片
make ends meet,[],收支相抵
make friends with,[],"v.与...交友//与...交朋友,和睦"
make fun of,[],v.取笑
make progress,[],"前进, 进步"
make room for,[],为...腾出空位
make sense,[],v.有意义
make sentences with,[],用…造句
make sure,[],"v.确定//确信,证实"
make sure of,[],*确保；确定
make the bed,[],v.铺床
make up,[],"v.弥补, 虚构, 缝制, 整理, 包装, 和解, 编辑, 化妆//补足,拼凑"
make up one's mind,[],"v.下决心, 接受, 承认//决定"
make use of,[],v.使用//利用
make...to one's own measure,[],*依照某人的尺寸做…
male,[meil],"adj.男的, 雄的, 男性"
man,[mAn],"n.男人, 人类, 人, 丈夫, 雇工//vt.为...配备人手, 操纵, 在...就位, 使振奋"
man-made,[],"adj.人造的, 合成的, 人为的"
manage,[5mAnidV],"vi.处理, 应付过去//vt.管理, 控制, 操纵, 维持, 运用, 搞成, 设法, 达成"
manager,[5mAnidVE],"n.经理, 管理人员, 管理器"
manifesto,[7mAni5festEu],"n.宣言, 声明"
mankind,[mAn5kaind],"n.人类, 男性, 男子"
manner,[5mAnE],"n.礼貌, 风格, 方式, 样式, 习惯"
manners,[],n.礼貌
many,[5meni],"n.多数, 群众//adj.许多的//pron.许多人, 许多"
map,[mAp],"n.地图, 图//v.绘制地图"
march,[mB:tF],"n.行军, 步伐, 进行曲//vi.进军, 前进//vt.使行军, 使行进//n.(March)三月(略作Mar)圃? 被处理//n.制造, 构造, 性情"
mark,[mB:k],"n.标志, 分数, 痕迹, 记号//vt.做标记于, 打分数, 标志//vi.作记号"
market,[5mB:kit],"n.市场, 销路, 行情//vt.在市场上交易, 使上市//vi.在市场上买卖"
marquis,[5mB:kwis],n.(英国等的)侯爵
marriage,[5mAridV],"n.结婚, 婚姻, 婚姻生活, 密切结合, 合并"
marry,[5mAri],"vt.娶, 嫁, 和...结婚"
mass,[mAs],"n.块, 大多数, 质量, 群众, 大量//adj.群众的, 大规模的, 集中的//vt.使集合//vi.聚集"
masses of,[],*大多数；大部分
master,[5mB:stE],"n.主人, 雇主, (男)教师, 熟练技工, 师傅, 大师, 硕士, <称呼>少爷//adj.主人的, 熟练的, 高明的, 主要的//vt.征服, 控制, 精通"
mat,[mAt],"n.席子, 垫子//v.铺席子"
match,[mAtF],"n.火柴, 比赛, 竞赛, 匹配, (足球, 捧球, 蓝球)比赛//v.相配, 相称, 比赛, 相比, 匹配"
material,[mE5tiEriEl],"n.材料, 原料, 物资, 素材, 布料//adj.物质的, 肉体的, 具体的, 重要的, 实质性的"
mathematics\maths,[],n.数学
matter,[5mAtE],"n.事件, 问题, 物质, 内容, 实质, 原因, (印刷或书写的)文件, (文章或讲话等的)素材//vi.有关系, 要紧"
maximum,[5mAksimEm],"n.最大量, 最大限度, 极大//adj.最高的, 最多的, 最大极限的"
may,[mei; me],"aux.可能, 也许, 可以, 祝, 愿//n.(May) 五月, 能, 可能"
maybe,[5meibi],"adv.大概, 或许//n.疑虑"
me,[mi:7mi],pron.我
meal,[mi:l],"n.一餐, 一顿饭, 膳食, (谷类的)粗粉//vi.进餐"
mean,[mi:n; min],"adj.低劣的, 卑鄙的, 普通的, 吝啬的, 简陋的, 平均的, 惭愧的, 不舒服的//vt.意谓, 想要, 预定//vi.用意, 有意义//n.平均数, 中间, 中庸"
meaning,[5mi:niN],"n.意义, 含意, 意图, [逻]内涵//adj.意味深长的"
meanwhile,[5mi:nwail; (?@) 5minhwail],"(=meantime) n.其间, 其时//adv.其间"
measure,[5meVE],"n.尺寸, 量度器, 量度标准, 方法, 测量, 措施//vt.测量, 测度, 估量, 分派, 权衡, 调节//vi.量"
meat,[mi: t],"n.(食用)肉, 肉类"
medal,[5medl],"n.奖章, 勋章, 纪念章//v.授予...奖章"
medical,[5medikEl],"n.医生, 体格检查//adj.医学的, 内科的, <古>(医)药的"
medical care,[],*医疗护理
medicine,[5medsin; -disin],"n.药, 医学, 内科学, 内服药//vt.给...用药"
meet,[mi:t],"n.会, 集会//adj.适宜的, 合适的//vt.遇见, (迎)接, 与(某人目光)相遇, (赴约)和...会面, (经介绍)与...相识, 对付//vi.相遇, 接触"
meeting,[5mi:tiN],"n.会议, 集会, 会见, 会战, 汇合点"
member,[5membE],"n.成员, 会员, 议员, (人或动, 植物的)一部分, [语]子句, 成分, [逻]推论的命题"
memory,[5memEri],"n.记忆, 记忆力, 回忆, 存储(器), 存储器//存储器,内存"
men's room,[],*男厕所
mend,[mend],"n.改进, 改良, 补丁, 修理部分, 好转//vt.修改, 改进, 加快, 修理, 修补//vi.好转, 改善, 改正"
mental,[5mentl],"adj.精神的, 智力的"
mentally,[5mentEli],"adv.精神上, 智力上, 在内心"
mention,[5menFEn],"vt.提及, 说起//n.提及, 说起//v.论及, 提及"
menu,[5menju:],n.菜单
merchant,[5mE:tFEnt],"n.商人, 批发商, 贸易商, 店主//adj.商业的, 商人的"
merciful,[5mE:siful],"adj.仁慈的, 慈悲的"
mercy,[5mE:si],"n.仁慈, 宽恕, 怜悯"
merely,[5miEli],"adv.仅仅, 只, 不过"
message,[5mesidV],"n.消息, 通讯, 讯息, 音讯, 差使, 广告词, 预言, 教训//vt.通知//vi.带信息"
metal,[5metl],n.金属
metallic,[mi 5tAlik],adj.金属(性)的
method,[5meWEd],n.方法
metre\meter,[],n.米；公尺
microcomputer,[5maikrEukEmpju:tE(r)修理; 修补],n.微型(电子)计
midday,[5middei],n.正午
middle,[5midl],"n.中间, 当中//adj.中间的, 中部的"
midnight,[5mid7nait],n.午夜
might,[mait],"v.(past tense, past participle of may//see may)//n.力量, 威力, 权力, 能, 可能//aux.可以"
mile,[mail],"n.英里, 较大的距离"
milk,[milk],"n.乳, 牛奶//v.挤(奶)修理, 修补"
million,[5miljEn],"num.百万, 百万个//n.无数"
millionaire,[7miljE5nZE],"n.百万富翁, 大富豪"
millions of,[],成百万的；许许多多的
mind,[maind],"n.头脑, 智力, 精神, 意见, 情绪//vi.介意, 照顾, 留心//vt.注意, 留意, 专心于, 照看, 介意"
mine,[main],"n.矿, 矿山, 矿井, 源泉, 宝库, 地雷, 水雷//vt.挖掘, 开采, 在...布雷, 破坏//vi.开矿, 埋设地雷//pron.我的"
mineral,[5minErEl],"n.矿物, 矿石"
minibus,[5mini7bQs],"n.中客车, 小型公共汽车(我国俗称面包车,乘员10人左右) 重要的,"
minister,[5ministE],"n.部长, 大臣"
minority,[mai5nCriti; mi-],"n.少数, 少数民族"
minus,[5mainEs],"adj.负的, 减的//prep.减去//n.负数"
minute,[mai5nju:t],"n.分, 分钟, 片刻, 一瞬间, 备忘录, 笔记//vt.记录, 摘录, 测定时间//adj.微小的, 详细的, 仔细而准确的"
mirror,[5mirE],"n.镜子, 真实反映情况的东西, 典范//vt.反映, 映出//n.DOS命令：在磁盘安全区域存贮根目录和文件分配表"
miss,[mis],"n.过错, 避免, 失败, 小姐, 姑娘//vt.未得到, 未达到, 未听到, 思念, 未觉察, 错过, 遗漏, 逃脱//vi.失败, 击不中"
mistake,[mis5teik],"n.错误, 过失//v.弄错, 误解, 把...误认为"
misunderstanding,[misQndE5stAndiN],"n.误会, 误解"
mix,[miks],"v.使混和, 混淆, 混合//n.混合"
mixture,[5mikstFE],"n.混合, 混合物, 混合剂"
mm,[],"n.毫米//[域] Myanmar, 缅甸"
mobile,[5mEubail],"adj.可移动的, 易变的, 机动的//n.运动物体"
model,[5mCdl],"n.样式, 型, 模范, 典型, 模型, 原型, 模特儿//vt.模仿//v.模拟"
modern,[5mCdEn],"n.现代人, 有思想的人//adj.近代的, 现代的, 现代化的, 时髦的"
moment,[5mEumEnt],"adj.片刻的, 瞬间的, 力矩的//n.瞬间"
money,[5mQni],"n.货币, 钱, 金钱"
moneylender,[5mQnilendE(r)钡?放债者],n.(尤指经营典当的)放债者
monitor,[5mCnitE],"n.班长, 监听器, 监视器, 监控器//vt.监控//v.监控"
monkey,[5mQNki],n.猴子
monsieur,[mE5sjE:],"n.先生, 绅士"
month,[mQnW],n.月
moon,[mu:n],"n.月球, 月亮, 卫星"
more,[mC:(r)? 更加; 超过; 多; 大大高于],"adj.更多的//n.更多//adv.更, 更多, 更加, 超过, 多, 大大高于//num.更多"
more or less,[],adv.或多或少
morning,[5mC:niN],"n.早晨, 上午"
most,[mEust],"adj.最多的, 多数的, 大部分的//adv.最, 最多, 很, 十分, 最, 最大的, 其中大多数, 极其//n.大多数, 大部分"
mother,[5mQTE],"n.母亲, 妈妈"
motherland,[5mQTElAnd],n.祖国
motor,[5mEutE],"n.发动机, 电动机"
motto,[5mCtEu],"n.座右铭, 格言, 题词, 笺言"
mountain,[5mauntin],"n.山, 山脉"
mountainous,[5mauntinEs],"adj.多山的, 山一般的, 巨大的"
mourn,[mC:n],"v.哀悼, 忧伤, 服丧"
mouse,[maus],"n.鼠, 耗子//v.搜寻"
moustache,[mEs5tB:F; mus-],"n.小胡子, (哺乳动物的)触须"
mouth,[mauW],"n.口, 嘴"
mouth-to-mouth,[],adj.嘴对嘴
mouthful,[5mauW7ful],"n.一口, 满口"
move,[mu:v],"n.移动, 迁居, 步骤//vt.移动, 感动, 鼓动//vi.移动, 离开, 运行, 迁移, 搬家"
move on,[],v.继续前进
movement,[5mu:vmEnt],"n.运动, 动作, 运转, 乐章"
movie,[5mu:vi],n.电影
mr,[5mistE(r)tania ; 毛里塔尼亚abbr.E军] Medium-Cange; 中程],"[域] Mauritania , 毛里塔尼亚//abbr.[军] Medium-Range, 中程"
ms,[miz],"[域] Montserrat, 蒙塞拉特岛//abbr.Microsoft,微软公司的简称//abbr.[军] Military Standard, 军标"
much,[mQtF],"adj.许多的, 大量的//adv.非常, 很, ...多, 更加, 非常, 得多, 多达, 多得多//n.许多, 大量//num.许多"
mud,[mQd],"n.泥, 泥浆, 泥泞//abbr.Multi-User Dungeons, 多用户网络游戏//abbr.Multi-User Domuins, 多用户领域"
multiply,[5mQltipli],"v.繁殖, 乘, 增加"
murder,[5mE:dE],"n.谋杀, 凶杀//vt.谋杀, 凶杀//v.谋杀"
museum,[mju(:)5ziEm],n.博物馆
music,[5mju:zik],"n.音乐, 乐曲"
musical,[5mju:zikEl],"adj.音乐的, 悦耳的//音乐喜剧"
musician,[mju:5ziFEn],n.音乐家
must,[mQst; mEst],"aux.必须, 应当, 很可能, 一定, 必须, 肯定, 可以"
my,[mai; mi],"pron.我的//int.<口>嗳呀!啊呀!//[域] Malaysia , 马来西亚"
myself,[mai5self],"pron.我自己, 我亲自, 我本人"
nail,[neil],"n.指甲, 钉, 钉子//vt.钉, 将...钉牢"
name,[neim],"n.名字, 名称, 姓名, 名誉//vt.命名, 提名, 叫出, 指定//adj.姓名的, 据以取名的"
narrow,[5nArEu],"n.狭窄部分, 海峡, 隘路//adj.狭窄的, 精密的, 严密的, 有限的, 气量小的, 勉强的, 眼光短浅的//vi.变窄//vt.使变狭窄, 使缩小"
nation,[5neiFEn],"n.国家, 民族"
national,[5nAFEnEl],"adj.国家的, 国立[有]的, 民族的"
nationality,[7nAFE5nAliti],"n.国籍, 国家, 部落, 民族, 民族性"
nationwide,[`neiFEnwaid],adj.全国性的
native,[5neitiv],"n.本地人, 土产, 土人//adj.本国的, 出生地的, 本地的, 与生俱来的, 天赋的, 土产的, 土著的"
natural,[5nAtFErEl],"adj.自然的, 自然界的, 关于自然界的, 天生的, 天赋的, 普通的, 正常的, 简单自然的//本位号"
natural gas,[],天然气
nature,[5neitFE],"n.自然, 自然界, 大自然, 自然状态, 本性, 天性, 种类"
navy,[5neivi],n.海军
nclear waste,[],*核废弃物
near,[niE],"adj.亲近的, 亲密的, 近, (车, 马等)左侧的, 吝啬的//adv.(时间, 空间方面)近, 不远//prep.在...近旁, 近...//v.接近, 走近"
nearby,[5niEbai],"adj.附近的, 邻近的//adv.在附近"
nearly,[5niEli],"adv.几乎, 密切地"
neat,[ni:t],"adj.整洁的, 灵巧的, 优雅的, (酒)纯的, 未搀水的"
neatly,[],"adv.整洁地, 优美的, 巧妙的, [酒类]纯的"
necessary,[5nesisEri],"n.必需品//adj.必要的, 必需的, 必然的"
neck,[nek],"n.脖子, 颈, 颈壮物"
necklace,[5neklis],n.项链
need,[ni:d],"n.需要, 必需, 必需品, 要求, 贫困//vt.需要//modal v.必要, 必须"
needle,[5ni:dl],n.针
neighbo(u)r,[5neibE],n.邻居；邻人
neither,[5naiTE; 5ni:TE],"adj.pron.两者都不//conj.既不...又不, 也不"
neither...nor,[],既不…也不…
nephew,[5nevju(:); 5nefju(:)],"n.侄子, 外甥"
nervous,[5nE:vEs],"adj.神经紧张的, 不安的, 强健有力的"
nest,[nest],"n.巢, 窝, 休息所, 隐匿处, 舒适的地方, (可以一个套一个的)一套器具//vi.筑巢, 找鸟巢//vt.造巢, 使套入"
net,[net],"n.网, 网络, 网状物, 净利, 实价//adj.净余的, 纯粹的//vt.用网捕, 净赚, 得到//vi.编网//[域] Nerwork operations and service centers,网络服务商"
network,[5netwE:k],"n.网络, 网状物, 广播网"
never,[5nevE],"adv.决不, 从未"
never mind,[],"v.没关系, 不用担心"
new,[nju:],"adj.新的, 初见的, 更新的//adv.新近"
news,[nju:z],"n.新闻, 消息"
newspaper,[5nju:speipE],n.报纸
newspaper reporter,[],*新闻记者
next,[nekst],"n.adj.下次的, 其次的, 与...连接, 下一个//adv.下一次, 其次"
nice,[nais],"adj.美好的, 和蔼的, 正派的, 细微的, 挑剔的, 精密的, 拘泥的"
nicotine,[5nikEti:n; -tin],n.烟碱
niece,[ni:s],"n.侄女, 甥女"
night,[nait],"n.夜, 夜晚, 黑暗, 死亡"
nine,[nain],"num.九, 九个"
ninety,[5nainti],num.九十
ninth,[nainW],"num.第九, 九分之一"
no,[nEu],"n.否定, 投反对票者//adj.没有, 不许, 反对//adv.不, 并不, 毫不//[域] Norway , 挪威"
no longer,[],adv.不再
no more,[],adv.不再
no more than,[],adv.只是
noble,[5nEubl],"adj.高尚的, 贵族的, 高贵的//n.贵族"
nobody,[5nEubEdi],"pron.谁也不, 无人, 任何人, 没有任何人"
nod,[nCd],"v.点头, 点...// n.点头"
noise,[nCiz],"n.喧闹声, 噪声, 噪音"
noisy,[5nCizi],"adj.吵杂的, 聒噪的"
non-White,[],adj.非白种的
non-smoker,[],*n.不吸烟的人
non-stop,[],*a.不停的
non-violent,[7nCn5vaiElEnt],*a.非暴力的
non-white,[],*n.非白种人
none,[nQn],"adv.决不, 毫不//pron.一个也没有, 毫无"
noon,[nu:n],n.中午
nor,[nC:],conj.也不
normal,[5nC:mEl],"n.正规, 常态, [数学]法线//adj.正常的, 正规的, 标准的"
north,[nC:W],"n.北, 北方, 北部//adj.北, 北方的//adv.在北方, 向北方"
northern,[5nC:TEn],"adj.北方的, 北部的"
nose,[nEuz],"n.鼻, (飞机、船等的)前端//v.侦察出"
not,[nCt],adv.不
not as...as,[],不像；不如
not at all,[],adv.一点也不
not only...but also,[],不但…而且
not...any longer,[],不再
not...any more,[],不再
not...any nore,[],不再
not...until,[],直到…之前；不到…(不)
note,[nEut],"n.笔记, 短信, (外交)照会, 注解, 注释, 票据, 纸币, 音符//vt.注意, 记录, 笔记"
notebook,[5nEutbuk],"n.笔记簿, 笔记本"
nothing,[5nQWiN],"n.无, 不关紧要之事, [数]零//adv.毫不, 决不//int.什么也没有, 无"
notice,[5nEutis],"n.通知, 布告, 注意//v.注意到"
noun,[naun],n.名词
now,[nau],"adv.现在, 目前, 此刻, 立刻, 马上//n.现在, 如今//conj.既然"
now and again,[],adv.不时
now and then,[],adv.偶尔
now that,[],既然
nowadays,[5nauEdeiz],"adv.现今, 现在"
nowhere,[5nEuhwZE],"adv.无处, 到处都无"
nuclear,[5nju:kliE],"adj.[核]核子的, 原子能的, 核的, 中心的"
number,[5nQmbE],"n.数, 数字, 数量, 号码, 算术, 诗, 韵律//v.遍号码, 共计..., 计入, 计算, 算入"
nurse,[nE:s],"n.护士, 保姆//vt.护理, 看护//v.照料"
nut,[nQt],"n.坚果, 螺母, 螺帽, 难解的问题"
o'clock,[E5klCk],"n.点钟, 钟头"
obey,[E5bei],"v.服从, 顺从"
object,[5CbdVikt],"n.物体, 目标, 宾语, 对象//vi.反对, 拒绝, 抗议//vt.提出...来反对"
obtain,[Eb5tein],"vt.获得, 得到"
obviously,[5CbviEsli],adv.明显地
occur,[E5kE:],"vi.发生, 出现"
ocean,[5EuFEn],"n.大海, 海洋, 许多, 广阔"
of,[Cv; Ev; v; f],"prep....的, 由...制成的, 离, 关于, 对于"
of course,[],adv.当然
of one's own,[],*属于某人自己的
off,[C:f; Cf],"adj.远的, 空闲的, 不工作的//adv.离开, 在远方, 离去, 分离, 中断, 完成//prep.从...离开, 脱离"
offer,[5CfE],"n.出价, 提议, 意图//vt.提供, 出价, 贡献, 使出现, 企图, 演出//vi.(机会、时机等)出现, 献祭, 提议"
office,[5Cfis],"n.办公室, 办事处, 事务所, <英>政府机关, 部, 公职, 职责, 帮助"
officer,[5CfisE],"n.政府官员, 军官, 警官, 船长//vt.指挥"
official,[E5fiFEl],"n.官员, 公务员//adj.职务上的, 公务的, 官方的, 正式的"
official language,[],官方语言
often,[5C(:)fn; 5C:ftEn],"adv.常常, 经常"
oh,[Eu],"int.[表示惊讶、害怕等] 哦, 哎哟"
oil,[Cil],"n.油, 石油, 油类//vt.给(机器等)加油, 上油, 涂油"
okay\O.K.,[],interj.对；好；可以 a.行；可以
old,[Euld],"adj.年老的, 老的, ...岁的, 陈旧的, 古老的"
on,[Cn],"prep.在...之上, 依附于, 临近, 靠近, 向, 在...时候, 关于, 涉及//adv.在上, 向前, 行动中, 作用中"
on and on,[],adv.继续不停地
on average,[],平均起来
on board,[],"到船上, 在船上"
on fire,[],"adv.起火, 非常激动"
on foot,[],adv.走路
on holiday,[],adv.在度假
on one's own,[],"adv.独自地, 独立地, 主动地"
on one's way to,[],往…去的路上
on show,[],被展出
on the air,[],adv.在广播
on the left,[],在左边
on the point of,[],adv.正要...的时候
on the radio,[],广播中
on the right,[],在右边
on the way,[],"在途中, 接近"
on time,[],adv.准时
on top of,[],"adv.熟练掌握, 在...之上, 另外, 紧接着"
once,[wQns],"n.adv.一次, 从前, 曾经//conj.一旦"
once again,[],adv.再一次
once in a while,[],adv.偶尔
once more,[],adv.再一次
once upon a time,[],adv.从前
one,[wQn],"pron.一个人, 任何人, 一方//num.一, 一个//adj.一方的, 某一, 同样的"
one after another,[],adv.接连地
one another,[],"n.彼此, 相互"
one by one,[],adv.一个接一个
one day,[],"adv.有一天, 总有一天"
oneself,[wQn5self],"pron.自己, 亲自"
onion,[5QnjEn],"n.洋葱//vt.加洋葱于, 因洋葱掉泪"
only,[5Eunli],"adj.唯一的, 单独的, 最好的, 最合适的//adv.仅仅, 只不过//conj.但是, 可是"
onto,[5Cntu],prep.在...之上
open,[5EupEn],"n.公开, 户外, 空旷//adj.开着的, 敞开的, (车等)无篷的, 开阔的, 营业着的, 公开的, 坦率的, 未决定的//vt.打开, 公开, 开放//vi.展开, 开始, 展现"
open up,[],"v.展开, 打开, 开发, 揭露, 开始"
operate,[5CpEreit],"v.操作, 运转, 开动, 起作用, 动手术, 开刀//n.[军]作军事行动"
operation,[7CpE5reiFEn],"n.运转, 操作, 实施, 作用, 业务, 工作, 手术, 军事行动"
operator,[5CpEreitE],"n.操作员, 工作者, (电话)接线员, 报务员, 手术员, 行家, 经营者, 算子"
opinion,[E5pinjEn],"n.意见, 看法, 主张, 判断, 评价"
oppose,[E5pEuz],"vt.反对, 使对立, 使对抗, 抗争//vi.反对"
opposite,[5CpEzit],"adj.相对的, 对面的, 对立的, 相反的, 对等的, 对应的//n.相反的事物"
or,[C:;E],"conj.或, 或者, 还是//abbr.[军] Operational Requirement, 作战需求//abbr.[军] Operations Research, 运筹学研究"
or else,[],否则
or so,[],大约
oral,[5C:rEl],adj.口头的
orange,[5CrindV],"n.柑, 桔, 橙, 橙色"
orbit,[5C:bit],"n.轨道, 势力范围, 生活常规, 眼眶//vt.绕...轨道而行//vi.进入轨道, 沿轨道飞行, 盘旋"
order,[5C:dE],"n.次序, 顺序, 正常(工作)状态, 秩序, 会议规则, 命令, 定购, 定单//vt.命令, 定购, 定制"
ordinary,[5C:dinEri],"adj.平常的, 普通的, 平凡的//n.[律] 推事, <英>[宗]罪犯的忏悔牧师"
organise,[`C:gEnaiz],"vt.组织, 创办"
organization,[7C:gEnai5zeiFEn],"n.组织, 机构, 团体"
organize,[5C:gEnaiz],"vt.组织, 使有机化, 给予生机//vi.组织起来"
organizer,[5C:gEnaizE],"n.组织者, 建立者, 筹办者"
other,[5QTE],"adj.其他的, 另外的, 从前的//pron.其他的, 他人, 另外一个//adv.另外地, 不同地"
otherwise,[5QTEwaiz],"adv.另外, 否则, 不同地, 别的方式//adj.另外的, 其他方面的"
ouch,[autF],int.哎唷！痛呀！
ought,[C:t],"aux.(～ to [verb] ) 应当, 应该"
ought to,[],v.应该
our,[5auE],pron.我们的
ours,[5auEz],pron.我们的
ourselves,[7auE5selvz],pron.我们自己
out,[aut],"adj.外面的, 下台的, 出局的//adv.在外, 出声地, 显露出来地, 明显地, 从头至尾地//n.外面, 外出, 外观//vt.赶出, 击倒, 使退场//vi.外出, 暴露//prep.通过"
out of,[],"在...外// 从里面// 由于// 缺乏, 放弃// 丧失// 在...范围外// 用...制成// 来自// 与...不相宜, 不相称// 离开, 脱离"
out of breath,[],adv.上气不接下气
out of one's reach,[],*够不着
out of work,[],失业
outdoor,[5autdC:],"adj.室外的, 户外的, 野外的"
outdoors,[aut5dC:z],"n.户外//adv.在户外, 在野外//adj.=outdoor"
outer,[5autE],"adj.外部的, 外面的, 远离中心的//n.(射击)环外命中"
outside,[5aut5said],"n.外面, 外表, 外界//adj.外面的, 外表的, 外界的//adv.在外面, 外表, 出界//prep.在...外"
over,[5EuvE],"adv.结束, 越过, 从头到尾//prep.在...之上, 越过//adj.上面的//vt.额外的东西, 越过//n.额外的东西"
over and over,[],"adv.反复, 再三"
over there,[],adv.那里
overcoat,[5EuvEkEut],n.外套大衣
owe,[Eu],"vt.欠(债等), 受到...的思想, 感激, 把...归功于//v.欠,应感激,应该把…归功于(to)//vi.欠钱"
own,[Eun],"adj.自己的, 特有的, (不用所有格)嫡亲的, 同胞的//vt.拥有, 自认, 承认//vi.承认"
owner,[5EunE],"n.所有者, 业主"
ownership,[5EunEFip],"n.所有权, 物主身份"
ox,[Cks],"n.牛, 公牛"
oxygen,[5CksidVEn],n.[化]氧
p.m.,[7pi: 5em],*(=afternoon)下午；午后
pack,[pAk],"n.包裹, <贬>一群, 一副, 背包, 包装//vt.包装, 捆扎, 塞满, 压紧, 挑选//vi.包装货物, 挤, 群集, 被包装//背包"
packet,[5pAkit],"n.小包裹, 小捆//v.包装//信息包"
packs of,[],*大量的；一大堆的
page,[peidV],"n.页, 记录, 事件, 专栏//vt.标明...的页数, 翻...的书页//vi.翻书页"
pain,[pein],"n.痛苦, 疼, 痛, 劳苦, 努力//vt.使痛苦"
painful,[5peinful],"adj.疼痛的, 使痛苦的"
paint,[peint],"n.油漆, 颜料, 涂料//v.油漆, (用颜料等)画, 绘, 描绘, 逼真地描述"
painter,[5peintE],"n.画家, 油漆匠"
painting,[5peintiN],"n.上油漆, 着色, 绘画, 油画//v.描绘"
pair,[pZE],"n.一对, 一双"
palace,[5pAlis],"n.宫, 宫殿"
