a la mode,[B:lB:5mEud],"adj.流行的,时髦的,加冰淇淋的",
marketing,[5mB:kitiN],"n.行销,买卖", 
marriage,[5mAridV],"n.结婚,婚姻,婚姻生活,密切结合,合并", 
marrow,[5mArEu],"n.髓,骨髓,精华,活力,<苏格兰>配偶",可以和narrow（狭窄的）一起*记 
marry,[5mAri],"vt.娶,嫁,和...结婚", 
marsh,[mB:F],"n.湿地,沼泽,沼泽地",注意不要和march（行军）相混。 
marshal,[5mB:FEl],"n.元帅,典礼官,执行官,司仪官;vt.整顿,配置,汇集;vi.排列,集合", 
mart,[mB:t],"n.<书>商业中心,市场",来自人名Martinet，１７世纪法国路易十四世时的军事教官 
martial,[5mB:FEl],"adj.战争的,军事的,尚武的,威武的", 
martyr,[5mB:tE],"n.烈士,殉教者;v.杀害,折磨",分割*记忆：mar（损伤），tyr看作tyre（轮胎），在轮胎下损伤。 
marvel,[5mB:vEl],"n.奇迹;v.大为惊异,觉得惊奇", 
marvellous,[5mB:vilEs],adj.绝妙的；了不起的, 
mascot,[5mAskEt],"n.福神,吉祥的东西", 
masculine,[5mB:skjulin],"adj.男性的,男子气概的,[语法]阳性的;n.男子,男孩", 
mash,[mAF],v.捣碎, 
mask,[mB:sk],"n.面具,掩饰,石膏面像;vt.戴面具,掩饰,使模糊;vi.化装,戴面具,掩饰,参加化装舞会", 
masquerade,[7mAskE5reid7mB:s-],n.化妆舞会;v.化装,masque（＝mask假面具）＋rade 
mass,[mAs],"n.块,大多数,质量,群众,大量;adj.群众的,大规模的,集中的;vt.使集合;vi.聚集",a＋mass（一团）→变成一团→积聚*同根词：massive巨大的 
mass-produce,[],vt.大量生产, 
mass production,[],n.大规模生产, 
massacre,[5mAsEkE],"n.残杀,大屠杀;v.残杀,集体屠杀",massa（＝smash粉碎）＋cre（＝neck）→打碎脖子→屠杀。分割*记忆：mass（大批）＋acre（英亩）→把人大批在英亩（田地）里杀害。 
massage,[5mAsB:V],n.按摩;v.按摩, 
massive,[5mAsiv],"adj.厚重的,大块的,魁伟的,结实的",mass（体积）＋ive→体积大的→巨大的 
master,[5mB:stE],"n.主人,雇主,(男)教师,熟练技工,师傅,大师,硕士,<称呼>少爷;adj.主人的,熟练的,高明的,主要的;vt.征服,控制,精通", 
masterful,[5mB:stEful],adj.专横的, 
mastermind,[5mB:stEmaind],v.策划, 
masterpiece,[5mB:stEpi:s],"n.杰作,名著", 
mastery,[5mB:stEri],n.掌握, 
mat,[mAt],"n.席子,垫子;v.铺席子",af＋firm（坚定）＋ative→再坚定→肯定的firm本身是一个单词（anaffirmativeanswer）。 
match,[mAtF],"n.火柴,比赛,竞赛,匹配,(足球,捧球,蓝球)比赛;v.相配,相称,比赛,相比,匹配", 
mate,[meit],"n.配偶,对手,助手;vt.使配对,使一致,结伴;vi.成配偶,紧密配合", 
material,[mE5tiEriEl],"n.材料,原料,物资,素材,布料;adj.物质的,肉体的,具体的,重要的,实质性的",im（不）＋material（实体）→非实体的 
materialize,[mE5tiEriElaiz],v.物化,material（材料，物质）＋ize→物质化→使具体化 
maternal,[mE5tE:nl],"adj.母亲的,似母亲的,母性的", 
maternity,[mE5tE:niti],"n.母性,母道;adj.孕妇的,产妇的,产科的", 
matey,[5meiti],"adj.平易近人的,友好的;n.伙伴,好朋友", 
matriarch,[5meitriB:k],"n.女家长,高雅的老妇人",matri（母）＋archy（统治）*同根词：matriculate（录取入学），matron（妻子，主妇） 
matriarchy,[5meitriB:ki],"n.女家长制,女族长制",matri（母）＋archy（统治）*同根词：matriculate（录取入学），matron（妻子，主妇） 
matriculate,[mE5trikjuleit],v.被录取入学;n.被录取者, 
matriculation,[mE7trikju5leiFEn],"n.录取入学,(大学的)入学考试", 
matrimonial,[7mAtri5mEunjEl7-niEl],"adj.与婚姻有关的,根据结婚的惯例", 
matrimony,[5mAtrimEni],n.结婚, 
matrix,[5meitriks],n.矩阵,matr（母）＋ix，原指“子宫”，引伸为模子和矩阵 
mattress,[5mAtris],"n.床垫,空气垫,(用以护堤等的)沉床", 
maturely,[],"adv.成熟地,充分地", 
maturity,[mE5tjuEriti],"n.成热,完备,(票据)到期,成熟", 
maximal,[5mAksimEl],"adj.最大的,最高的", 
maximize,[5mAksmaiz],"vt.取...最大值,最佳化", 
maze,[meiz],"n.曲径,迷宫,迷津,迷惘,迷惑,糊涂;vt.使迷惘,使混乱,迷失",不要和maize（玉米）相混 
meagre,[`mi:gE(r)],"adj.瘦的,贫弱的", 
mean,[mi:n7min],"adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的;vt.意谓,想要,预定;vi.用意,有意义;n.平均数,中间,中庸",de＋mean（低下）→使低下→贬抑，mean本身是一个单词。 
meander,[mi5AndE],"n.漫止,弯曲,曲流;v.漫止,蜿蜒而流",来自theMeander（米安德河），以其蜿蜒曲折而著名。 
meaning,[5mi:niN],"n.意义,含意,意图,[逻]内涵;adj.意味深长的", 
meaningful,[5mi:niNful],adj.意味深长的, 
meaningless,[5mi:niNlis],adj.无意义的, 
means,[mi:nz],"n.手段,方法;v.意味,想要", 
meantime,[5mi:n5taim],"n.其间,其时;adv.其间", 
meanwhile,[5mi:nwail;(uF)5minhwail],"(=meantime)n.其间,其时;adv.其间", 
measure,[5meVE],"n.尺寸,量度器,量度标准,方法,测量,措施;vt.测量,测度,估量,分派,权衡,调节;vi.量",来自measure（测量） 
measurement,[5meVEmEnt],"n.测量法,度量,(量得的)尺寸,度量单位制", 
mechanic,[mi5kAnik],"n.技工,机修工,机械士", 
mechanical,[mi5kAnikl],"adj.机械的,机械制的,机械似的,呆板的", 
mechanics,[mi5kAniks],"n.(用作单数)机械学、力学,(用作复数)技巧,结构", 
mechanism,[5mekEnizEm],"n.机械装置,机构,机制", 
mechanization,[7mekEnai5zeiFEn],"n.机械化,机动化", 
mechanize,[5mekEnaiz],v.机械化, 
medal,[5medl],"n.奖章,勋章,纪念章;v.授予...奖章",由metal（金属）变化而来，因为奖牌是金属做的 
medallist,[5medlist],n.奖章获得者, 
meddle,[5medl],v.管闲事,来自meddle（干涉，干预）＋some，med（混合），*参考：medley（混合物） 
media,[5mi:djE],n.媒体,来自immediate（立即的），im（没有）＋medi（中间）→没有中间状态→刻不容缓。 
median,[5mi:djEn],"adj.中央的,[数学]中线的,中值的;n.中部,当中,[数学]中线,中值",medi（中间）＋an→中间的 
mediate,[5mi:diit7-djEt],"v.仲裁,调停,作为引起...的媒介,居中调停",medi（中间）＋ate→在中间→调停，调解注意不要和meditate（沉思）相混 
mediation,[7mi:di5eiFEn],"n.仲裁,调停,调解", 
medical,[5medikEl],"n.医生,体格检查;adj.医学的,内科的,<古>(医)药的", 
medicate,[5medikeit],"v.用药医治,加入药物", 
medication,[7medi5keiFEn],"n.药物治疗,药物处理,药物", 
medicinal,[me5disinEl],"adj.医学的,药的,有益的,有帮助的", 
medicine,[5medsin7-disin],"n.药,医学,内科学,内服药;vt.给...用药", 
medieval,[7medi5i:vEl],"adj.中世纪的,仿中世纪的,老式的,<贬>原始的",medi（中间）＋ev（时间）＋al→在中间时间→中世纪的 
mediocre,[7mi:di5EukE;5mi:diEukE],adj.普普通通的, 
meditate,[5mediteit],"v.想,考虑,(尤指宗教上的)沉思,冥想",pre(预先)＋meditated(思考过的)*参考:meditation(沉思) 
meditation,[medi5teiFEn],"n.沉思,冥想", 
meditative,[5meditEtiv],"adj.沉思的,爱思考的,冥想的",来自meditate（沉思），medit（中间）＋ate→思考之中 
medium,[5mi:djEm],"n.媒体,方法,媒介;adj.中间的,中等的,半生熟的",medi（中间）＋um→中间物，媒介 
meek,[mi:k],"adj.温顺的,谦恭的,(河流等)和缓的,驯服的", 
melancholy,[5melEnkEli],n.忧郁;adj.忧郁,melan（黑色）＋chol（＝bile胆汁）＋y→胆汁发黑→忧郁的*同根词：melanic（黑变的） 
mellow,[5melEu],"adj.(因熟透而)醇香的、甘美的,(颜色)柔美的,(声音)圆润的,成熟的,老练的;vt.&vi.使(变)醇香,使(变)柔美,使成熟", 
melodic,[mi5lCdik],"adj.有旋律的,调子美妙的", 
melodious,[mi5lEudjEs],adj.音调优美的, 
melodrama,[5melEdrB:mE],n.情节剧,来自melody（旋律）＋drama（戏剧） 
melody,[5melEdi],n.悦耳的音调,mel（甜）＋ody（唱）→旋律 
melt,[melt],"v.(使)融化,(使)熔化,使软化,使感动",比较melt（熔化），melt只指把东西化开如：Thesnowmelted．smelt指化开并提炼，如：smelthighgradetinfromores． 
memento,[me5mentEu],n.纪念品,mem（*记忆）＋ento→纪念品同根词：memoir（传*记，回忆录），memorable（难忘的） 
memo,[5memEu],n.备忘录,im（不）＋memor（*记住）＋ial→*记不住的过去→太古的 
memoir,[5memwB:],n.论文集, 
memorable,[5memErEbl],"adj.值得纪念的,难忘的", 
memorandum,[7memE5rAndEm],"n.备忘录,便笺,便函,买卖契约书", 
memory,[5memEri],"n.记忆,记忆力,回忆,存储(器),存储器;存储器,内存", 
menace,[5menEs],"n.威胁,危险物;v.恐吓,危及,威胁",分割*记忆：men（人）＋ace看作face，当面的人→威胁 
mend,[mend],"n.改进,改良,补丁,修理部分,好转;vt.修改,改进,加快,修理,修补;vi.好转,改善,改正",a＋mend（补，修）＋ment→改正的东西，*同根词：amends（赔偿，补偿） 
menial,[5mi:njEl],adj.仆人的;n.仆人, 
mental,[5mentl],"adj.精神的,智力的",分割*记忆：de＋trim（修剪）＋ent→剪坏了→伤害 
mentality,[men5tAliti],"n.智力,精神,心理,思想情况", 
mentally,[5mentEli],"adv.精神上,智力上,在内心", 
mention,[5menFEn],"vt.提及,说起;n.提及,说起;v.论及,提及", 
menu,[5menju:],n.菜单, 
mercantile,[5mE:kEntail],"adj.商人的,商业的,经商的,重商主义的,以金钱为目的的", 
mercenary,[5mE:sinEri],adj.唯利是图的,mercen（工资）＋ary→为了工钱的→贪财的 
merchandise,[5mE:tFEndaiz],"n.商品,货物",来自merchant（商人）＋dise 
merchant,[5mE:tFEnt],"n.商人,批发商,贸易商,店主;adj.商业的,商人的", 
merciful,[5mE:siful],"adj.仁慈的,慈悲的", 
merciless,[5mE:silis],"adj.无慈悲心的,残忍的", 
mercurial,[mE:5kjuEriEl],"adj.墨丘利神的,水星的,雄辩机智的,活泼善变的,水银的;n.水银剂,汞剂",来自mercury（水银）。水银流动性极强 
mercy,[5mE:si],"n.仁慈,宽恕,怜悯", 
mere,[miE],"adj.仅仅的,起码的,纯粹的",mere作为“只不过”的意思，大家都应该熟悉，如：heisstillamerechild 
merely,[5miEli],"adv.仅仅,只,不过", 
meretricious,[7meri5triFEs],"adj.华丽而庸俗的,俗气的,娼妓的,适合娼妓的",来自meretrix（妓女） 
merge,[mE:dV],"v.合并,并入,结合,吞没,融合", 
merger,[5mE:dVE],"n.合并,归并", 
meridian,[mE5ridiEn],"n.子午线,正午,顶点,全盛时期;adj.子午线的,正午的,顶点的,全盛时期的", 
merit,[5merit],"n.优点,价值;v.有益于",merit（优点，长处）＋orious（多…的）→长处很多→值得赞美的 
meritocracy,[7meri5tCkrEsi],n.知识界精华, 
meritorious,[7meri5tC:riEs],adj.有功的,merit（优点，长处）＋orious（多…的）→长处很多→值得赞美的 
mermaid,[5mE:meid],"n.(传说中的)美人鱼,<美>女子游泳健将",mer（＝mar海洋）＋maid（少女）→美人鱼 
merry,[5meri],"adj.欢乐的,愉快的", 
mesmerize,[5mezmEraiz],v.施催眠术,来自奥地利医生Mesmer，始创催眠术*参考：mesmeric（催眠的，迷人的） 
mess,[mes],"n.混乱,脏乱;v.弄乱", 
message,[5mesidV],"n.消息,通讯,讯息,音讯,差使,广告词,预言,教训;vt.通知;vi.带信息", 
messenger,[5mesindVE],"n.报信者,使者", 
messy,[5mesi],"adj.肮脏的,凌乱的,杂乱", 
metabolic,[7metE5bClik],"adj.代谢作用的,新陈代谢的", 
metabolism,[me5tAbElizEm],"n.新陈代谢,变形",meta（变化）＋bol（＝throw扔）＋ism→产生变化→新陈代谢 
metabolize,[mE5tAbElaiz],v.产生代谢变化, 
metallic,[mi5tAlik],adj.金属(性)的, 
metaphor,[5metEfE],"n.[修辞]隐喻,暗喻,比喻说话", 
metaphorical,[7metE5fCrikEl],"adj.隐喻性的,比喻性的",meta（变化）＋phor（带有）→以变化的方式表达→隐喻 
meteorology,[7mi:tjE5rClEdVi],"n.气象学,气象状态", 
method,[5meWEd],n.方法, 
methodical,[mi5WCdik(E)l],"adj.有方法的,有系统的", 
methodology,[meWE5dClEdVi],"n.方法学,方法论", 
meticulous,[mi5tikjulEs],adj.小心翼翼的,metic（害怕的）＋ulous（多…的）→多害怕的→细心的 
metier,[],"n.职业,工作", 
metrical,[5metrik(E)l],"adj.测量的,度量的,(诗的)韵律的", 
metropolis,[mi5trCpElis],"n.首都,主要都市,都会,大主教教区,大城市", 
metropolitan,[metrE5pClit(E)n],"adj.首都的,主要都市的,大城市", 
mettle,[5met(E)l],n.勇气,可能来自metal（金属），有着钢铁的特征→勇气 
microbe,[5maikrEub],"n.微生物,细菌",micro（微小）＋be（＝bio生命）→小生命→微生命 
microchip,[5maikrEutFip],[计]微芯片, 
microcomputer,[5maikrEukEmpju:tE(r)],n.微型(电子)计, 
microcosm,[5maikrEkCz(E)m],n.微观世界, 
microeconomics,[],n.[经]微观经济学, 
microfiche,[5maikrEufi:F],n.[摄]单片缩影胶片, 
microphone,[5maikrEfEun],"n.扩音器,麦克风", 
microscope,[5maikrEskEup],n.显微镜, 
microscopic,[maikrE5skCpik],"adj.用显微镜可见的,精微的",micro（小）＋scop（看）＋ic→看小东西→显微镜的 
microwave,[5maikrEuweiv],n.微波(波长为1毫米至30厘米的高频电磁波), 
midget,[5midVit],n.侏儒;adj.小型的,分割*记忆：mid（中间）＋get（得到）→到达中间状态→没长高→侏儒注意dget结尾的单词：gadget（小工具），budget（预算） 
midst,[5midst],n.中间;prep.在...中间, 
midwife,[5midwaif],"n.助产士,接生员,产婆", 
midwifery,[5midwaifEri],"n.助产术,产科学,催生,促成", 
migrant,[5maigrEnt],"n.候鸟,移居者",migr（移动）＋ant→移动的人或物→移民*参考：immigrant（移入民），emigrant（移出） 
migrate,[mai5greit75maigreit],"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙;vt.使移居,使移植","emigrate表示移出,immigrate表示移入migrate指动物或人来回迁移。 "
migration,[mai5greiFEn],"n.移民,移植,移往,移动", 
migratory,[5maigrEtEri7mai5greitEri],"adj.迁移的,流浪的", 
mild,[maild],"adj.温和的,温柔的,淡味的,轻微的,适度的,不含有害物质的的",由mild（潮湿）＋dew（露珠）→潮湿的露珠产生霉 
mildly,[5maildli],"adv.温和地,适度地,略微", 
mileage,[5mailidV],"n.英里数,英里里程", 
milestone,[5mailstEun],"n.里程碑,里程标,重要事件,转折点", 
militant,[5militEnt],"adj.好战的,积极从事或支持使用武力的",milit（军事，打斗）＋ant→好战的*同根词：military（军事的），militate（产生影响，战斗） 
military,[5militEri],"adj.军事的,军用的", 
militia,[mi5liFE],n.民兵, 
mill,[mil],"n.压榨机,磨坊,磨粉机,工厂,制造厂;vt.碾磨,磨细,搅拌,使乱转,打;vi.乱转,被碾磨",mill（磨房）＋er 
millennium,[mi5leniEm],"n.太平盛世,一千年", 
millionaire,[7miljE5nZE],"n.百万富翁,大富豪", 
mime,[maim],"n.笑剧;v.模仿;abbr.MultipurposeInternetMailExtensionprotocol,多用途的网际邮件扩充协议",mim（动作）＋e*参考：pantomime（哑剧），mimic（模仿，戏弄） 
mimic,[5mimik],"adj.模仿的,假装的,[生]拟态的;n.效颦者,模仿者,小丑,仿制品;vt.模仿,摹拟", 
minatory,[5minEtEri],adj.威胁的,来自discriminate（辩）．dis＋crimin（罪行）＋ate→区别对待有罪的人→辩别，歧视*同根词：incriminate（连累） 
mince,[mins],v.切碎,min（小）＋ce→切小，切碎→小步走*参考：minute（微小的） 
mind,[maind],"n.头脑,智力,精神,意见,情绪;vi.介意,照顾,留心;vt.注意,留意,专心于,照看,介意", 
mindful,[5maindful],"adj.留心的,不忘的;n.留心", 
mindless,[5maindlis],"adj.没头脑的,不用脑子的,愚笨无知的,粗心大意的", 
mineral,[5minErEl],"n.矿物,矿石", 
mingle,[5miNgl],v.(使)混合,inter＋mingle（混合）→混合进去 
miniature,[5minjEtFE],"n.缩小的模型,缩图,缩影;adj.微型的,缩小的",mini（极小的）＋ature→极小的画像等*同根词：minikin（娇小的动物或人），minimal（最小的） 
minimal,[5minimEl],"adj.最小的,最小限度的", 
minimize,[5minimaiz],vt.将...减到最少;v.最小化, 
minimum,[5minimEm],"adj.最小的,最低的;n.最小值,最小化", 
minion,[5minjEn],"n.奴才,宠臣",mini（小）＋on被看小的人→奴才 
minor,[5mainE],"n.未成年人,副修科目;adj.较小的,次要的,二流的,未成年的;vi.辅修;n.[乐]小调,小音阶", 
minority,[mai5nCriti7mi-],"n.少数,少数民族", 
minster,[5minstE],"n.修道院附属的教堂,大教堂", 
minus,[5mainEs],"adj.负的,减的;prep.减去;n.负数",termin（结束）＋us→结束地→终点站 
minute,[mai5nju:t],"n.分,分钟,片刻,一瞬间,备忘录,笔记;vt.记录,摘录,测定时间;adj.微小的,详细的,仔细而准确的", 
miracle,[5mirEkl],"n.奇迹,奇事", 
miraculous,[mi5rAkjulEs],"adj.奇迹的,不可思议的", 
mirage,[5mirB:V],"n.海市蜃楼,雾气,幻想,妄想",mir（惊奇）＋age→使人惊奇之物→海市蜃楼*同根词：miraculous（神奇的），mirror（镜子） 
mirror,[5mirE],"n.镜子,真实反映情况的东西,典范;vt.反映,映出;n.DOS命令：在磁盘安全区域存贮根目录和文件分配表", 
misadventure,[5misEd5ventFE],n.运气不佳的遭遇, 
misbegotten,[5misbi7gCtn],"adj.私生的,非婚生的,靠非法手段获取的,设计得很拙劣", 
miscellaneous,[misi5leinjEs7-niEs],"adj.各色各样混在一起,混杂的,多才多艺的", 
miscellany,[mi5selEni],"n.杂物,(miscellanies)杂录,杂记", 
mischief,[5mistFif],"n.伤害,危害,故障,恶作剧,淘气,调皮的人,损害", 
mischievously,[],"adv.有害地,淘气地", 
miser,[5maizE],"n.守财奴,吝啬鬼,(石油工程上用的)凿井机",com+miser(可怜)+ate→共同可怜→同情，*同根词：miserable(可怜的) 
miserable,[5mizErEbl],"adj.痛苦的,悲惨的,可怜", 
miserably,[5mizErEbli],adv.悲惨, 
miserly,[5maizEli],"adj.吝啬的,贪婪的", 
misery,[5mizEri],"n.痛苦,苦恼,悲惨,不幸,穷困", 
misfortune,[mis5fC:tFEn],"n.不幸,灾祸", 
misgiving,[mis5giviN],"疑惧,疑虑", 
mishap,[5mishAp7mis5hAp],n.灾祸,mis（坏）＋hap（运气）→运气不好*同根词：happiness（幸福） 
misinterpret,[5misin5tE:prit],vt.曲解, 
misinterpretation,[5misin7tE:pri5teiFEn],"n.误译,曲解", 
misnomer,[5mis5nEumE],"n.用词不当,[律](在诉讼等中)写错姓名(或地名)", 
misprint,[mis5print],v.印错;n.印刷错误, 
misrule,[5mis5ru:l],vt.施暴政;n.暴政, 
missile,[5misail7-sEl],"n.导弹,发射物",miss（发送）＋ile（物体）→发送出去的东西→投射物*同根词：dismiss（开除，解散），emissary（使者，间谍） 
mission,[5miFEn],"n.使命,任务,使团,代表团",e+mit(送)→送出→放出(味道等) 
mist,[mist],n.薄雾,armi＋stice（停止）→停止武器→停战同义词：truce（停战） 
mite,[mait],"n.微小的东西,<口>小孩,力所能及的微小贡献", 
mitigate,[5mitigeit],v.减轻,miti（小，轻）＋gate（＝ag做）→弄轻→减轻*参考：mitigator（缓解剂） 
mitigation,[Amiti`geiFEn],"n.缓解,减轻,平静", 
mixture,[5mikstFE],"n.混合,混合物,混合剂", 
moan,[mEun],"n.呻吟,哀悼,呼啸;vi.发出呻吟声,抱怨,哀悼;vt.呻吟", 
mob,[mCb],"n.(集合词)暴徒,乌合之众,(盗贼等的)一群;v.成群暴动,聚众滋扰",de＋mobilize（动员）→反动员→遣散，mob（动）*同根词：mobility（能动性），mob（暴民） 
mobile,[5mEubail],"adj.可移动的,易变的,机动的;n.运动物体", 
mobility,[mEu5biliti],"n.活动性,灵活性,迁移率,机动性", 
mobilize,[5mEubilaiz],v.动员,de＋mobilize（动员）→反动员→遣散，mob（动）*同根词：mobility（能动性），mob（暴民） 
mock,[mCk],"v.嘲笑,骗,挫败,嘲弄;adj.假的;n.嘲弄,模仿,仿制品",humm（地）＋ock看作rock→土岩石→小丘 
mockery,[5mCkEri],n.嘲笑, 
mode,[mEud],"n.方式,模式,样式,时尚;n.DOS命令：完成有关在处理器和屏幕,打印机和键盘之间传递数据的各种功能",im（不）＋moderate（节制的）→不节制的 
modem,[5mEudEm],n.[计]调制解调器;n.调制解调器, 
moderate,[5mCdErit],"adj.中等的,适度的,适中的;v.缓和",im（不）＋moderate（节制的）→不节制的 
moderately,[],adv.适度地, 
moderation,[7mCdE5reiFEn],n.适度, 
modern,[5mCdEn],"n.现代人,有思想的人;adj.近代的,现代的,现代化的,时髦的", 
modernism,[5mCdEnizEm],"n.现代风,现代主义,现代思想", 
modernist,[5mCdEnist],"n.现代主义者,现代人", 
modernity,[mC5dE:niti],n.现代性, 
modernization,[7mCdEnai5zeiFEn],n.现代化, 
modernize,[5mCdE(:)naiz],v.使现代化, 
modest,[5mCdist],"adj.谦虚的,谦让的,适度的", 
modesty,[5mCdisti],"n.谦逊,虚心", 
modification,[7mCdifi5keiFEn],"n.更改,修改,修正", 
modify,[5mCdifai],"vt.更改,修改;v.修改",mod（＝mode方式，时髦）＋ify→使改变方式→修改 
modular,[5mCdjulE],"adj.[数][物]模的,有标准组件的", 
modulate,[5mCdjuleit],"vt.调整,调节,(信号)调制",mod（方式）＋ulate→改变方式 
modulation,[7mCdju5leiFEn],n.调制, 
module,[5mCdju:l],"n.模数,模块,登月舱,指令舱", 
moist,[mCist],adj.潮湿的;n.潮湿, 
moisture,[5mCistFE],"n.潮湿,湿气", 
molecular,[mEu5lekjulE],"adj.[化]分子的,由分子组成的", 
molecule,[5mClikju:l75mEu-],"n.[化]分子,些微", 
molest,[mEu5lest],"vt.骚乱,困扰,调戏",mol（磨）＋est→磨擦→骚扰 
molest,[mEu5lest],"vt.骚乱,困扰,调戏",mol（磨）＋est→磨擦→骚扰 
molestation,[mEules5teiFEn],"n.骚扰,干扰,调戏", 
mollify,[5mClifai],v.平息,moll（软）＋ify→软化→安慰*同根词：emollient（润肤剂），mollescent（变软的） 
mollycoddle,[5mClikCdl],"n.娇惯的男人,懦夫;vt.溺爱,娇生惯养",molly（软，溺爱）＋coddle（纵容） 
momentarily,[5mEumEntErili],adv.即刻, 
momentary,[5mEumEntEri],"adj.瞬间的,刹那间的",moment（时刻）＋ary→时刻的→短暂的 
momentous,[mEu5mentEs],"adj.重大的,重要的",moment（时刻）＋ous→刻不容缓的→重要的 
momentum,[mEu5mentEm],"n.动力,要素",moment（＝movement）＋um→动力，动量 
monarch,[5mCnEk],n.君主,mon（单个）＋arch（统治者）→个人统治→君主 
monarchy,[5mCnEki],"n.君主政体,君主政治,君主国", 
monetary,[5mQnitEri],"adj.货币的,金钱的", 
monger,[5mQNgE],"n.商人,贩子,中间人;vt.贩卖,传播",war（战争）＋monger（商人，贩子） 
monitor,[5mCnitE],"n.班长,监听器,监视器,监控器;vt.监控;v.监控",ad＋mon（警告）＋ish→告诫 
monochrome,[5mCnEukrEum],n.单色;单色的, 
monograph,[5mCnEugrB:f],n.专论,mono（单个）＋graph（写）→为一个主题而写→专题论文 
monologue,[5mCnElCg],"n.独白,独脚戏",mono（单个）＋logue（说话）→一个人说话 
monopolization,[],"n.独占,专卖;垄断", 
monopolize,[mE5nCpElaiz],"vt.独占,垄断", 
monopoly,[mE5nCpEli],"n.垄断,垄断者,专利权,专利事业",mono（单个）＋poly（运用）→一个人用→垄断*同根词：employ（雇佣），deploy（调度，部署） 
monotonous,[mE5nCtEnEs],"adj.单调的,无变化的",mono（单个）＋ton（声音）＋ous→一个声音的 
monotony,[mE5nCtEni],"n.单音,单调,千篇一律", 
monsoon,[mCn5su:n],"n.季候风,(印度等地的)雨季,季风", 
monster,[5mCnstE],"n.怪物,妖怪", 
monstrous,[5mCnstrEs],"adj.巨大的,畸形的,怪异的,恐怖的,凶暴的;adj.<口>难以置信的,荒谬的", 
monument,[5mCnjumEnt],n.纪念碑, 
monumental,[7mCnju5mentl],"adj.纪念碑的,纪念物的,不朽的,非常的", 
mood,[mu:d],"n.心情,情绪,语气,状态", 
moody,[5mu:di],"adj.喜怒无常的,忧悒的", 
moor,[muE],"n.沼地,荒野;v.停泊,固定,系住",和moon（月亮）一起*记（amoonoverthemoor，笼照在旷野地上的月光） 
moot,[mu:t],"n.大会,审议会;adj.未决议的,无实际意义的;vt.提出...供讨论", 
mop,[mCp],"n.拖把(俗称地拖),洗碗;v.用拖把拖洗,擦,抹,扫荡",美国写作hemophilia，hemo（血）＋phil（爱）＋ia→爱出血的病→血友病 
moral,[5mCrEl],"adj.道德(上)的,精神的;n.道德",a＋moral构成，注意：immoral（不道德的，淫荡的） 
morale,[mC5rB:l],"n.士气,民心",和moral（道德的）一起*记 
morally,[5mCrEli],adv.精神上, 
morass,[mE5rAs],n.沼泽,分割*记忆：mor看作more＋ass（驴子），很多驴子在周围→（陷入）困境 
morbid,[5mC:bid],"adj.病的,由病引起的,病态的,恐怖的",morb（病）＋id→病态的*参考：morbific（引起疾病的） 
mordant,[5mC:dEnt],"n.媒染,媒染剂,金属腐蚀剂,金属箔粘着剂;adj.讽刺的,媒染性的,有腐蚀性的;vt.以媒染剂处理",mord（咬）＋ant→咬人的→尖酸的*同根词：mordacious（尖锐的，尖刻的） 
moreover,[mC:5rEuvE],"adv.而且,此外", 
moribund,[5mC(:)ribQnd],adj.垂死的;n.垂死的人,mori（＝mort死）＋bund（接近的）→垂死的 
morose,[mE5rEus],"adj.郁闷的,乖僻的",moro（笨，坏）＋ose→脾气坏的 
mortal,[5mC:tl],"n.凡人,人类;adj.必死的,致命的,人类的,临终的;adj.<口>极端的,非常大(长)的",im（不）＋mort（死）＋al→不死的*同根词：postmortem（死后的），mortify（使屈辱） 
mortality,[mC:5tAliti],n.死亡率, 
mortgage,[5mC:gidV],n.抵押;v.抵押,mort（死亡）＋gage（抵押品） 
mortify,[5mC:tifai],"vt.克服,苦修,使苦恼;vi.制欲,苦行,坏死",mort（死）＋ify→让人想死→使人屈辱 
mosquito,[mEs5ki:tEu],n.蚊子, 
moss,[mCs],"n.苔,藓", 
mote,[mEut],"n.尘埃,微粒",de＋mote（动）→动下去→降级*同根词：promote（提升），commotion（动乱） 
motif,[mEu5ti:f],"n.主题,主旨,动机,图形",可能是motive（动机）的变体 
motion,[5mEuFEn],"n.运动,动作;v.运动",com+mot(动)+ion→大家一起动→动乱*同根词：motivation(动机) 
motionless,[5mEuF(E)nlis],"adj.不动的,静止的", 
motivate,[5mEutiveit],v.激发,motiv（动机）＋ate→有动机→促使 
motivation,[7mEuti5veiFEn],n.动机, 
motive,[5mEutiv],"n.动机,目的;adj.发动的,运动的", 
motley,[5mCtli],"adj.杂色的,五颜六色的,穿染色衣的,混杂的;n.杂色,杂色衣服,混杂,小丑",mot（＝mote微粒）＋ley→各种微粒混合→混杂的*参考：medley（混合物） 
motor,[5mEutE],"n.发动机,电动机", 
motorist,[5mEutErist],"n.乘汽车者,常坐汽车的人", 
motorway,[5mEutEwei],n.汽车高速公路, 
mottled,[5mCtld],"adj.杂色的,斑驳的",由motley变体而来 
motto,[5mCtEu],"n.座右铭,格言,题词,笺言", 
mould,[mEuld],"n.[亦作mold]肥土,壤土,[亦作mold]霉,模具;v.用土覆盖,发霉,铸造", 
mouldy,[5mEuldi],"adj.发霉的,腐朽的,旧式的", 
