abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
little,[5litl],"n.少许, 一会儿, 短时间//adj.很少的, 矮小的, 短暂的, 琐碎的//adv.很少, 稍微, 完全不"
live,[liv],"adj.活的, 生动的, 精力充沛的, 实况转播的, 点燃的//vi.活着, 生活, 居住, 流在人们记忆中//vt.过着, 度过, 经历//adv.以实况地"
lively,[5laivli],"adj.活泼的, 活跃的, 栩栩如生的, 真实的"
liver,[5livE],n.居住者，生活优裕的人，肝脏
living,[5liviN],"n.生活, 生计, 生存空间, 居住面积//adj.活的, 起作用的, 逼真的, 现存的"
load,[lEud],"n.负荷, 重担, 装载量, 工作量, 负载, 加载//vt.装载, 装填, 使担负//vi.装货, 装弹药，装料"
loaf,[lEuf],"n.一条面包, 块, 游荡//v.游荡, 虚度光阴"
loan,[lEun],"n.（借出的）贷款, 借出//v.借, 借给"
local,[5lEukEl],"adj.地方的, 当地的, 局部的, 乡土的//n.当地居民, 本地新闻, 慢车, 局部"
locate,[lEu5keit],"vt.查找...的地点, 使...坐落于, 位于//v.定位, 位于"
location,[lEu5keiFEn],"n.位置, 场所, 特定区域，<美>[电影]外景拍摄场地"
lock,[lCk],"n.锁//v.锁, 锁上, 锁住"
lodge,[lCdV],"n.门房, （猎人住的）山林小屋, （游览区的）旅馆, （地方社团的）集会处//vi.临时住宿, 寄宿（某人家）//vt.容纳, 寄存, 把...射入, 存放, (向有关当局)提出(声明)霭?书等)发给//[律]子女, 后嗣"
log,[lCg],"n.航行日志, 原木, 园形木材, 园木//v.把...记入航行日志, 伐木, 把...锯成段"
logic,[5lCdVik],"n.逻辑, 逻辑学, 逻辑性"
logical,[5lCdVikEl],"adj.合乎逻辑的, 合理的"
lonely,[5lEunli],"adj.孤独的, 寂寞的, 偏僻的, 人迹罕至的"
long,[lCN],"adj.长的, 长期的, 做多头的, 高的//vi.渴望, 热望//adv.长期地, 始终//n.长时间, (市场上)做多头的人, [语音]长音节"
look,[luk],"n.看, 注视, 脸色, 面容, 外表//vi.看, 注意, 朝着, 好象, 显得//vt.打量, 注视, 用眼神(或脸色)表示, 期待"
loop,[lu:p],"n.环, 线(绳)圈, 弯曲部分, 回路, 回线, (铁路)让车道, (飞机)翻圈飞行//vt.使成环, 以圈结, 以环连结//vi.打环, 翻筋斗//n.循环"
loose,[lu:s],"n.解放, 放任, 放纵//adj.宽松的, 不精确的, 不牢固的, 散漫的, 自由的//vt.释放, 放枪, 开船//vi.变松, 开火//adv.松散地"
loosen,[5lu:sn],"v.解开, 放松, 松开"
lord,[lC:d],"n.封建领主, 地主, 统治者, [宗]上帝//vi.称王称霸, 作威作福//vt.使成贵族"
lorry,[5lCri],"n.<古>卡车, 铁路货车"
lose,[lu:z],"vt.遗失, 浪费, 错过, 输去, 使失去, 使迷路, 使沉溺于//vi.受损失, 失败"
loss,[lCs],"n.损失, 遗失, 失败, 输, 浪费, 错过, [军]伤亡, 降低"
lot,[lCt],"n.签, 抽签, 一堆, 许多, 命运, 一块地, 份额//vt.划分//vi.抽签, 抓阄"
loud,[laud],"adj.高声的, 不断的, 喧吵的//adv.高声地, 大声地"
love,[lQv],"n.爱, 热爱, 爱情, 爱好, 性爱, 情人, 零//vt.爱, 热爱, 爱好, 爱慕//vi.爱"
lovely,[5lQvli],"adj.可爱的, 有趣的"
lover,[5lQvE],"n.爱人, 爱好者, 情人"
low,[lEu],"n.低, 低价, 牛叫声//adj.低的, 浅的, 消沉的, 微弱的, 粗俗的, 卑贱的, 体质弱的//adv.低下地, 谦卑地, 低声地, 低价地//vi.牛叫"
lower,[5lEuE],"adj.较低的, 下级的, 下等的, 下游的//vi.降低, 跌落, 减弱//vt.放下, 降下, 减弱, 贬低"
loyal,[5lCiEl],"adj.忠诚的, 忠心的"
loyalty,[5lCiElti],"n.忠诚, 忠心"
luck,[lQk],"n.运气, 好运, 幸运"
lucky,[5lQki],"adj.幸运的, 吉祥的, 侥幸的"
luggage,[5lQgidV],"n.行李, 皮箱"
lump,[lQmp],"n.块（尤指小块）, 肿块, 笨人//vt.使成块状, 混在一起, 忍耐, 笨重地移动//vi.结块"
lunch,[lQntF],n.午餐
lung,[lQN],"n.肺, 呼吸器, 肺脏"
luxury,[5lQkFEri],"n.奢侈, 华贵"
machine,[mE5Fi:n],"n.机器, 机械, 机动车辆, 机构, 设计, 机械般工作的人, (政党的)领导集团, 核心组织//vt.机器制造, 用车床加工"
machinery,[mE5Fi:nEri],"n.[总称] 机器, 机械"
mad,[mAd],"adj.疯狂的, 愚蠢的, 狂欢的, 非常激动的, 狂热的, 着迷的//n.狂怒"
magazine,[7mAgE5zi:n],"n.杂志, 期刊, 军火库, 弹药库, (枪、炮的)弹仓, 胶卷盒"
magic,[5mAdVik],"n.魔法, 巫术, 戏法//adj.魔术的, 有魔力的, 不可思议的"
magnet,[5mAgnit],"n.磁体, 磁铁"
magnetic,[mAg5netik],"adj.磁的, 有磁性的, 有吸引力的"
magnificent,[mAg5nifisnt],"adj.华丽的, 高尚的, 宏伟的"
maid,[meid],"n.少女, 女仆"
mail,[meil],"n.邮件, 邮政, 盔甲//vt.邮寄, 给...穿盔甲"
main,[mein],"n.主要部分, 体力, 力量, 大陆, 要点, 干线//adj.主要的, 重要的, 全力的//n.[计] 主群组"
mainland,[`meinlEnd;-lAnd],n.大陆
maintain,[men5tein],"vt.维持, 维修, 继续, 供养, 主张"
maintenance,[5meintinEns],"n.维护, 保持, 生活费用, 扶养"
major,[5meidVE],"n.<美>[教]主修课, [律]成年人, [乐]大调//adj.主修的, 成年的, 大调的//vi.主修"
majority,[mE5dVCriti],"n.多数, 大半//n.[律] 成年"
make,[meik],"vt.制造, 安排, 使成为, 认为, 产生, 获得, 进行, 构成//vi.开始, 前进, 增大, 被制造, 被处理//n.制造, 构造, 性情"
male,[meil],"adj.男的, 雄的, 男性"
man,[mAn],"n.男人, 人类, 人, 丈夫, 雇工//vt.为...配备人手, 操纵, 在...就位, 使振奋"
manage,[5mAnidV],"vi.处理, 应付过去//vt.管理, 控制, 操纵, 维持, 运用, 搞成, 设法, 达成"
management,[5mAnidVmEnt],"n.经营, 管理, 处理, 操纵, 驾驶, 手段"
manager,[5mAnidVE],"n.经理, 管理人员, 管理器"
mankind,[mAn5kaind],"n.人类, 男性, 男子"
manner,[5mAnE],"n.礼貌, 风格, 方式, 样式, 习惯"
manual,[5mAnjuEl],"n.手册, 指南//adj.手的, 手动的, 手工的, 体力的, 手册(性质)的, [律]实际占有的"
manufacture,[7mAnju5fAktFE],"vt.制造, 加工//n.制造, 制造业, 产品"
manufacturer,[7mAnju5fAktFErE],"n.制造业者, 厂商"
many,[5meni],"n.多数, 群众//adj.许多的//pron.许多人, 许多"
map,[mAp],"n.地图, 图//v.绘制地图"
March,[mB:tF],n. 三月
margin,[5mB:dVin],"n.页边的空白, (湖、池等的)边缘, 极限, 利润, 差数, (时间、金额等的)富余//vt.加边于, 加旁注于"
marine,[mE5ri:n],"n.舰队, 水兵, 海运业//adj.海的, 海产的, 航海的, 船舶的, 海运的"
mark,[mB:k],"n.标志, 分数, 痕迹, 记号//vt.做标记于, 打分数, 标志//vi.作记号"
market,[5mB:kit],"n.市场, 销路, 行情//vt.在市场上交易, 使上市//vi.在市场上买卖"
marriage,[5mAridV],"n.结婚, 婚姻, 婚姻生活, 密切结合, 合并"
married,[5mArid],"adj.已婚的, 婚姻的"
marry,[5mAri],"vt.娶, 嫁, 和...结婚"
marvelous,[],"adj.引起惊异的, 不可思议的, 非凡的"
Marxist,[5mB:ksist],adj.马克思主义的//n.马克思主义者
mask,[mB:sk],"n.面具, 掩饰, 石膏面像//vt.戴面具, 掩饰, 使模糊//vi.化装, 戴面具, 掩饰, 参加化装舞会"
mass,[mAs],"n.块, 大多数, 质量, 群众, 大量//adj.群众的, 大规模的, 集中的//vt.使集合//vi.聚集"
master,[5mB:stE],"n.主人, 雇主, (男)教师, 熟练技工, 师傅, 大师, 硕士, <称呼>少爷//adj.主人的, 熟练的, 高明的, 主要的//vt.征服, 控制, 精通"
mat,[mAt],"n.席子, 垫子//v.铺席子"
match,[mAtF],"n.火柴, 比赛, 竞赛, 匹配, (足球, 捧球, 蓝球)比赛//v.相配, 相称, 比赛, 相比, 匹配"
mate,[meit],"n.配偶, 对手, 助手//vt.使配对, 使一致, 结伴//vi.成配偶, 紧密配合"
material,[mE5tiEriEl],"n.材料, 原料, 物资, 素材, 布料//adj.物质的, 肉体的, 具体的, 重要的, 实质性的"
mathematical,[7mAWi5mAtikEl],"adj.数学的, 精确的"
mathematics,[7mAWi5mAtiks],n.数学
maths,[mAWs],n.数学
matter,[5mAtE],"n.事件, 问题, 物质, 内容, 实质, 原因, (印刷或书写的)文件, (文章或讲话等的)素材//vi.有关系, 要紧"
mature,[mE5tjuE],"adj.成熟的, 到期的, 充分考虑的, (票据等)到期的//vt.使成熟//vi.成熟, 到期"
maximum,[5mAksimEm],"n.最大量, 最大限度, 极大//adj.最高的, 最多的, 最大极限的"
May,[mei; me],"梅(姓氏, 女子名, Mary的昵称)// 五月"
maybe,[5meibi],"adv.大概, 或许//n.疑虑"
mayor,[mZE],n.市长
me,[mi:7mi],pron.我
meal,[mi:l],"n.一餐, 一顿饭, 膳食, (谷类的)粗粉//vi.进餐"
mean,[mi:n; min],"adj.低劣的, 卑鄙的, 普通的, 吝啬的, 简陋的, 平均的, 惭愧的, 不舒服的//vt.意谓, 想要, 预定//vi.用意, 有意义//n.平均数, 中间, 中庸"
meaning,[5mi:niN],"n.意义, 含意, 意图, [逻]内涵//adj.意味深长的"
means,[mi:nz],"n.手段, 方法//v.意味, 想要"
meantime,[5mi:n5taim],"n.其间, 其时//adv.其间"
meanwhile,[5mi:nwail; (?@) 5minhwail],"(=meantime) n.其间, 其时//adv.其间"
measure,[5meVE],"n.尺寸, 量度器, 量度标准, 方法, 测量, 措施//vt.测量, 测度, 估量, 分派, 权衡, 调节//vi.量"
measurement,[5meVEmEnt],"n.测量法, 度量, (量得的)尺寸, 度量单位制"
meat,[mi: t],"n.(食用)肉, 肉类"
mechanic,[mi5kAnik],"n.技工, 机修工, 机械士"
mechanical,[mi5kAnikl],"adj.机械的, 机械制的, 机械似的, 呆板的"
mechanics,[mi5kAniks],"n.(用作单数)机械学、力学, (用作复数)技巧, 结构"
medical,[5medikEl],"n.医生, 体格检查//adj.医学的, 内科的, <古>(医)药的"
medicine,[5medsin; -disin],"n.药, 医学, 内科学, 内服药//vt.给...用药"
medium,[5mi:djEm],"n.媒体, 方法, 媒介//adj.中间的, 中等的, 半生熟的"
meet,[mi:t],"n.会, 集会//adj.适宜的, 合适的//vt.遇见, (迎)接, 与(某人目光)相遇, (赴约)和...会面, (经介绍)与...相识, 对付//vi.相遇, 接触"
meeting,[5mi:tiN],"n.会议, 集会, 会见, 会战, 汇合点"
melt,[melt],"v.(使)融化, (使)熔化, 使软化, 使感动"
member,[5membE],"n.成员, 会员, 议员, (人或动, 植物的)一部分, [语]子句, 成分, [逻]推论的命题"
memorial,[mi5mC:riEl],"n.纪念物, 纪念馆, 纪念议事, 请愿书//adj.记念的, 记忆的"
memory,[5memEri],"n.记忆, 记忆力, 回忆, 存储(器), 存储器//存储器,内存"
mend,[mend],"n.改进, 改良, 补丁, 修理部分, 好转//vt.修改, 改进, 加快, 修理, 修补//vi.好转, 改善, 改正"
mental,[5mentl],"adj.精神的, 智力的"
mention,[5menFEn],"vt.提及, 说起//n.提及, 说起//v.论及, 提及"
menu,[5menju:],n.菜单
merchant,[5mE:tFEnt],"n.商人, 批发商, 贸易商, 店主//adj.商业的, 商人的"
mercury,[5mE:kjuri],"n.水银, 汞, [罗神]墨丘利神(众神的信使)"
mercy,[5mE:si],"n.仁慈, 宽恕, 怜悯"
mere,[miE],"adj.仅仅的, 起码的, 纯粹的"
merely,[5miEli],"adv.仅仅, 只, 不过"
merit,[5merit],"n.优点, 价值//v.有益于"
merry,[5meri],"adj.欢乐的, 愉快的"
message,[5mesidV],"n.消息, 通讯, 讯息, 音讯, 差使, 广告词, 预言, 教训//vt.通知//vi.带信息"
metal,[5metl],n.金属
meter,[5mi:tE],"n.米, 公尺, 计, 表, 仪表"
method,[5meWEd],n.方法
metre,[],"n.米, 公尺"
metric,[5metrik],"adj.米制的, 公制的"
microphone,[5maikrEfEun],"n.扩音器, 麦克风"
microscope,[5maikrEskEup],n.显微镜
middle,[5midl],"n.中间, 当中//adj.中间的, 中部的"
midnight,[5mid7nait],n.午夜
might,[mait],"v.(past tense, past participle of may//see may)//n.力量, 威力, 权力, 能, 可能//aux.可以"
mild,[maild],"adj.温和的, 温柔的, 淡味的, 轻微的, 适度的, 不含有害物质的的"
mile,[mail],"n.英里, 较大的距离"
military,[5militEri],"adj.军事的, 军用的"
milk,[milk],"n.乳, 牛奶//v.挤(奶)participle of may"
mill,[mil],"n.压榨机, 磨坊, 磨粉机, 工厂, 制造厂//vt.碾磨, 磨细, 搅拌, 使乱转, 打//vi.乱转, 被碾磨"
millimetre,[`mili7mi:tE(r)7:EC],n.毫米
million,[5miljEn],"num.百万, 百万个//n.无数"
mind,[maind],"n.头脑, 智力, 精神, 意见, 情绪//vi.介意, 照顾, 留心//vt.注意, 留意, 专心于, 照看, 介意"
mine,[main],"n.矿, 矿山, 矿井, 源泉, 宝库, 地雷, 水雷//vt.挖掘, 开采, 在...布雷, 破坏//vi.开矿, 埋设地雷//pron.我的"
mineral,[5minErEl],"n.矿物, 矿石"
minimum,[5minimEm],"adj.最小的, 最低的//n.最小值, 最小化"
minister,[5ministE],"n.部长, 大臣"
ministry,[5ministri],n.(政府的)部门
minor,[5mainE],"n.未成年人, 副修科目//adj.较小的, 次要的, 二流的, 未成年的//vi.辅修//n.[乐]小调, 小音阶"
minority,[mai5nCriti; mi-],"n.少数, 少数民族"
minus,[5mainEs],"adj.负的, 减的//prep.减去//n.负数"
minute,[mai5nju:t],"n.分, 分钟, 片刻, 一瞬间, 备忘录, 笔记//vt.记录, 摘录, 测定时间//adj.微小的, 详细的, 仔细而准确的"
miracle,[5mirEkl],"n.奇迹, 奇事"
mirror,[5mirE],"n.镜子, 真实反映情况的东西, 典范//vt.反映, 映出//n.DOS命令：在磁盘安全区域存贮根目录和文件分配表"
miserable,[5mizErEbl],"adj.痛苦的, 悲惨的, 可怜"
mislead,[mis5li:d],vt.误导
miss,[mis],"n.过错, 避免, 失败, 小姐, 姑娘//vt.未得到, 未达到, 未听到, 思念, 未觉察, 错过, 遗漏, 逃脱//vi.失败, 击不中"
missile,[5misail; -sEl],"n.导弹, 发射物"
missing,[5misiN],"adj.不见的, 缺少的"
mission,[5miFEn],"n.使命, 任务, 使团, 代表团"
mist,[mist],n.薄雾
mistake,[mis5teik],"n.错误, 过失//v.弄错, 误解, 把...误认为"
misunderstand,[5misQndE5stAnd],"vt.误解, 误会"
mix,[miks],"v.使混和, 混淆, 混合//n.混合"
mixture,[5mikstFE],"n.混合, 混合物, 混合剂"
mobile,[5mEubail],"adj.可移动的, 易变的, 机动的//n.运动物体"
mode,[mEud],"n.方式, 模式, 样式, 时尚//n.DOS命令：完成有关在处理器和屏幕, 打印机和键盘之间传递数据的各种功能"
model,[5mCdl],"n.样式, 型, 模范, 典型, 模型, 原型, 模特儿//vt.模仿//v.模拟"
moderate,[5mCdErit],"adj.中等的, 适度的, 适中的//v.缓和"
modern,[5mCdEn],"n.现代人, 有思想的人//adj.近代的, 现代的, 现代化的, 时髦的"
modest,[5mCdist],"adj.谦虚的, 谦让的, 适度的"
modify,[5mCdifai],"vt.更改, 修改//v.修改"
moist,[mCist],adj.潮湿的//n.潮湿
moisture,[5mCistFE],"n.潮湿, 湿气"
molecule,[5mClikju:l; 5mEu-],"n.[化]分子, 些微"
moment,[5mEumEnt],"adj.片刻的, 瞬间的, 力矩的//n.瞬间"
Monday,[5mQndi; 5mQndei],n.星期一
money,[5mQni],"n.货币, 钱, 金钱"
monitor,[5mCnitE],"n.班长, 监听器, 监视器, 监控器//vt.监控//v.监控"
monkey,[5mQNki],n.猴子
month,[mQnW],n.月
monthly,[5mQnWli],adj.每月的//adv.每月一次//n.月刊
monument,[5mCnjumEnt],n.纪念碑
mood,[mu:d],"n.心情, 情绪, 语气, 状态"
moon,[mu:n],"n.月球, 月亮, 卫星"
moral,[5mCrEl],"adj.道德(上)的, 精神的//n.道德"
more,[mC:(r)|EC EQ:Q7:EB],"adj.更多的//n.更多//adv.更, 更多, 更加, 超过, 多, 大大高于//num.更多"
moreover,[mC:5rEuvE],"adv.而且, 此外"
morning,[5mC:niN],"n.早晨, 上午"
mosquito,[mEs5ki:tEu],n.蚊子
most,[mEust],"adj.最多的, 多数的, 大部分的//adv.最, 最多, 很, 十分, 最, 最大的, 其中大多数, 极其//n.大多数, 大部分"
mostly,[5mEustli],"adv.主要地, 大部分, 通常"
mother,[5mQTE],"n.母亲, 妈妈"
motion,[5mEuFEn],"n.运动, 动作//v.运动"
motivate,[5mEutiveit],v.激发
motive,[5mEutiv],"n.动机, 目的//adj.发动的, 运动的"
motor,[5mEutE],"n.发动机, 电动机"
mould,[mEuld],"n.[亦作mold] 肥土, 壤土, [亦作mold] 霉, 模具//v.用土覆盖, 发霉, 铸造"
mount,[maunt],"n.乘用马, 衬纸, 山, 装配//vi.乘马, 爬上, 增长//vt.爬上, 使上马, 装上, 设置, 安放, 制作...的标本, 上演"
mountain,[5mauntin],"n.山, 山脉"
mouse,[maus],"n.鼠, 耗子//v.搜寻"
mouth,[mauW],"n.口, 嘴"
move,[mu:v],"n.移动, 迁居, 步骤//vt.移动, 感动, 鼓动//vi.移动, 离开, 运行, 迁移, 搬家"
movement,[5mu:vmEnt],"n.运动, 动作, 运转, 乐章"
movie,[5mu:vi],n.电影
much,[mQtF],"adj.许多的, 大量的//adv.非常, 很, ...多, 更加, 非常, 得多, 多达, 多得多//n.许多, 大量//num.许多"
mud,[mQd],"n.泥, 泥浆, 泥泞//abbr.Multi-User Dungeons, 多用户网络游戏//abbr.Multi-User Domuins, 多用户领域"
multiple,[5mQltipl],"adj.多样的, 多重的//n.倍数, 若干//v.成倍增加"
multiply,[5mQltipli],"v.繁殖, 乘, 增加"
murder,[5mE:dE],"n.谋杀, 凶杀//vt.谋杀, 凶杀//v.谋杀"
muscle,[5mQsl],"n.肌肉, 臂力, (可供食用的)瘦肉, [解]肌"
museum,[mju(:)5ziEm],n.博物馆
music,[5mju:zik],"n.音乐, 乐曲"
musical,[5mju:zikEl],"adj.音乐的, 悦耳的//音乐喜剧"
musician,[mju:5ziFEn],n.音乐家
must,[mQst; mEst],"aux.必须, 应当, 很可能, 一定, 必须, 肯定, 可以"
mutual,[5mju:tjuEl; 5mju:tFuEl],"adj.相互的, 共有的"
my,[mai; mi],"pron.我的//int.<口>嗳呀!啊呀!//[域] Malaysia , 马来西亚"
myself,[mai5self],"pron.我自己, 我亲自, 我本人"
mysterious,[mis5tiEriEs],adj.神秘的
mystery,[5mistEri],"n.神秘, 神秘的事物"
nail,[neil],"n.指甲, 钉, 钉子//vt.钉, 将...钉牢"
naked,[5neikid],"adj.裸体的, 无遮盖的, 无装饰的, 无保护的, [律]无证据的, 未证实的"
name,[neim],"n.名字, 名称, 姓名, 名誉//vt.命名, 提名, 叫出, 指定//adj.姓名的, 据以取名的"
namely,[5neimli],"adv.即, 也就是"
narrow,[5nArEu],"n.狭窄部分, 海峡, 隘路//adj.狭窄的, 精密的, 严密的, 有限的, 气量小的, 勉强的, 眼光短浅的//vi.变窄//vt.使变狭窄, 使缩小"
nation,[5neiFEn],"n.国家, 民族"
national,[5nAFEnEl],"adj.国家的, 国立[有]的, 民族的"
nationality,[7nAFE5nAliti],"n.国籍, 国家, 部落, 民族, 民族性"
native,[5neitiv],"n.本地人, 土产, 土人//adj.本国的, 出生地的, 本地的, 与生俱来的, 天赋的, 土产的, 土著的"
natural,[5nAtFErEl],"adj.自然的, 自然界的, 关于自然界的, 天生的, 天赋的, 普通的, 正常的, 简单自然的//本位号"
naturally,[5nAtFErEli],adv.自然地
nature,[5neitFE],"n.自然, 自然界, 大自然, 自然状态, 本性, 天性, 种类"
naval,[5neivEl],adj.海军的
navigation,[7nAvi5geiFEn],"n.航海, 航空, 导航, 领航, 航行"
navy,[5neivi],n.海军
near,[niE],"adj.亲近的, 亲密的, 近, (车, 马等)左侧的, 吝啬的//adv.(时间, 空间方面)近, 不远//prep.在...近旁, 近...//v.接近, 走近"
nearby,[5niEbai],"adj.附近的, 邻近的//adv.在附近"
nearly,[5niEli],"adv.几乎, 密切地"
neat,[ni:t],"adj.整洁的, 灵巧的, 优雅的, (酒)纯的, 未搀水的"
necessarily,[5nesisErili; nesi5serili],adv.必要地
necessary,[5nesisEri],"n.必需品//adj.必要的, 必需的, 必然的"
necessity,[ni5sesiti],"n.必要性, 需要,必需品"
neck,[nek],"n.脖子, 颈, 颈壮物"
need,[ni:d],"n.需要, 必需, 必需品, 要求, 贫困//vt.需要//modal v.必要, 必须"
needle,[5ni:dl],n.针
negative,[5negEtiv],"n.否定, 负数, 底片//adj.否定的, 消极的, 负的, 阴性的//vt.否定, 拒绝(接受) 不远//prep.在...近旁, 近...//v.接近, 走近"
neglect,[ni5glekt],"vt.忽视, 疏忽, 漏做//n.忽视, 疏忽, 漏做"
Negro,[5ni:grEu],n.黑人
neighbour,[5neibE],n.邻居(美作：neighbor)
neighbourhood,[5neibEhud],n.邻居关系(美作：neighborhood)? 漏做
neither,[5naiTE; 5ni:TE],"adj.pron.两者都不//conj.既不...又不, 也不"
nephew,[5nevju(:); 5nefju(:)h],"n.侄子, 外甥"
nerve,[nE:v],"n.神经, 胆量, 勇气, 叶脉//vt.鼓起勇气"
nervous,[5nE:vEs],"adj.神经紧张的, 不安的, 强健有力的"
nest,[nest],"n.巢, 窝, 休息所, 隐匿处, 舒适的地方, (可以一个套一个的)一套器具//vi.筑巢, 找鸟巢//vt.造巢, 使套入"
net,[net],"n.网, 网络, 网状物, 净利, 实价//adj.净余的, 纯粹的//vt.用网捕, 净赚, 得到//vi.编网//[域] Nerwork operations and service centers,网络服务商"
network,[5netwE:k],"n.网络, 网状物, 广播网"
neutral,[5nju:trEl],"n.中立者, 中立国, 非彩色, 齿轮的空档//adj.中立的, 中立国的, 中性的, 无确定性质的, (颜色等)不确定的"
never,[5nevE],"adv.决不, 从未"
nevertheless,[7nevETE5les],"conj.然而, 不过//adv.仍然, 不过"
new,[nju:],"adj.新的, 初见的, 更新的//adv.新近"
news,[nju:z],"n.新闻, 消息"
newspaper,[5nju:speipE],n.报纸
next,[nekst],"n.adj.下次的, 其次的, 与...连接, 下一个//adv.下一次, 其次"
nice,[nais],"adj.美好的, 和蔼的, 正派的, 细微的, 挑剔的, 精密的, 拘泥的"
niece,[ni:s],"n.侄女, 甥女"
night,[nait],"n.夜, 夜晚, 黑暗, 死亡"
nine,[nain],"num.九, 九个"
nineteen,[5nain5ti:n],num.十九
ninety,[5nainti],num.九十
ninth,[nainW],"num.第九, 九分之一"
nitrogen,[5naitrEdVEn],n.[化]氮
no,[nEu],"n.否定, 投反对票者//adj.没有, 不许, 反对//adv.不, 并不, 毫不//[域] Norway , 挪威"
noble,[5nEubl],"adj.高尚的, 贵族的, 高贵的//n.贵族"
nobody,[5nEubEdi],"pron.谁也不, 无人, 任何人, 没有任何人"
nod,[nCd],"v.点头, 点...// n.点头"
noise,[nCiz],"n.喧闹声, 噪声, 噪音"
noisy,[5nCizi],"adj.吵杂的, 聒噪的"
none,[nQn],"adv.决不, 毫不//pron.一个也没有, 毫无"
nonsense,[5nCnsEns],"n.胡说, 废话"
noon,[nu:n],n.中午
nor,[nC:],conj.也不
normal,[5nC:mEl],"n.正规, 常态, [数学]法线//adj.正常的, 正规的, 标准的"
normally,[5nC:mEli],"adv.正常地, 通常地"
north,[nC:W],"n.北, 北方, 北部//adj.北, 北方的//adv.在北方, 向北方"
northeast,[5nC:W5i:st],n.东北//adj.东北的
northern,[5nC:TEn],"adj.北方的, 北部的"
northwest,[5nC:W5west],n.西北方//adj.西北的
nose,[nEuz],"n.鼻, (飞机、船等的)前端//v.侦察出"
not,[nCt],adv.不
note,[nEut],"n.笔记, 短信, (外交)照会, 注解, 注释, 票据, 纸币, 音符//vt.注意, 记录, 笔记"
notebook,[5nEutbuk],"n.笔记簿, 笔记本"
nothing,[5nQWiN],"n.无, 不关紧要之事, [数]零//adv.毫不, 决不//int.什么也没有, 无"
notice,[5nEutis],"n.通知, 布告, 注意//v.注意到"
noticeable,[5nEutisEbl],"adj.显而易见的, 值得注意的"
noun,[naun],n.名词
novel,[5nCvEl],"n.小说, 长篇故事//adj.新奇的, 新颖的, 异常的"
November,[nEu5vembE],n.十一月(略作Nov)常的
now,[nau],"adv.现在, 目前, 此刻, 立刻, 马上//n.现在, 如今//conj.既然"
nowadays,[5nauEdeiz],"adv.现今, 现在"
nowhere,[5nEuhwZE],"adv.无处, 到处都无"
nuclear,[5nju:kliE],"adj.[核]核子的, 原子能的, 核的, 中心的"
nucleus,[5nju:kliEs],"[nuclear的复数, 见nuclear]//n.核子"
nuisance,[5nju:sns],"n.讨厌的人或东西, 麻烦事, 损害"
number,[5nQmbE],"n.数, 数字, 数量, 号码, 算术, 诗, 韵律//v.遍号码, 共计..., 计入, 计算, 算入"
numerous,[5nju:mErEs],"adj.众多的, 许多的, 无数的"
nurse,[nE:s],"n.护士, 保姆//vt.护理, 看护//v.照料"
nursery,[5nE:sEri],n.托儿所
nut,[nQt],"n.坚果, 螺母, 螺帽, 难解的问题"
nylon,[5nailEn],n.尼龙
o'clock,[E5klCk],"n.点钟, 钟头"
obey,[E5bei],"v.服从, 顺从"
object,[5CbdVikt],"n.物体, 目标, 宾语, 对象//vi.反对, 拒绝, 抗议//vt.提出...来反对"
objection,[Eb5dVekFEn],"n.异议, 缺陷, 妨碍, 拒绝之理由"
objective,[Eb5dVektiv],"n.目标, 目的, (显微镜的)(接)物镜, [语法]宾格//adj.客观的, [语法]宾格的"
oblige,[E5blaidV],"vt.迫使, 责成"
observation,[7EbzE:5veiFEn],"n.观察, 观测, 观察资料(或报告)入"
observe,[Eb5zE:v],"vt.观察, 观测, 遵守, 评述, 说"
observer,[Eb5zE:vE],"n.观测者, 观察员, 遵守者"
obstacle,[5CbstEkl],"n.障碍, 妨害物"
obtain,[Eb5tein],"vt.获得, 得到"
obvious,[5CbviEs; -vjEs],"adj.明显的, 显而易见的"
occasion,[E5keiVEn],"n.场合, 时机, 机会"
occasional,[E5keiVnEl],"adj.偶然的, 非经常的, 特殊场合的, 临时的"
occupation,[7Ckju5peiFEn],"n.职业, 占有, 占有(房屋等)期间"
occupy,[5Ckjupai],"vt.占, 占用, 占领, 占据"
occur,[E5kE:],"vi.发生, 出现"
occurrence,[E5kQrEns],"n.发生, 出现, 事件, 发生的事情"
ocean,[5EuFEn],"n.大海, 海洋, 许多, 广阔"
October,[Ck5tEubE],n.十月(略作Oct):22
odd,[Cd],"adj.奇数的, 单数的, 单只的, 不成对的, 临时的, 不固定的, 带零头的, 余的"
of,[Cv; Ev; v; f],"prep....的, 由...制成的, 离, 关于, 对于"
off,[C:f; Cf],"adj.远的, 空闲的, 不工作的//adv.离开, 在远方, 离去, 分离, 中断, 完成//prep.从...离开, 脱离"
offend,[E5fend],"v.犯罪, 冒犯, 违反, 得罪, 使...不愉快"
offer,[5CfE],"n.出价, 提议, 意图//vt.提供, 出价, 贡献, 使出现, 企图, 演出//vi.(机会、时机等)出现, 献祭, 提议"
office,[5Cfis],"n.办公室, 办事处, 事务所, <英>政府机关, 部, 公职, 职责, 帮助"
officer,[5CfisE],"n.政府官员, 军官, 警官, 船长//vt.指挥"
